,,,February 2016,,,,,,,,,,,,,,February 2016,,,,,,,,,,,,,,February 2016,,,,,,,,,,
897,"ABUYUG, LEYTE",8,0.8,0.6,1.2,1.0,0.4,0.6,0.6,0.6,0.8,1.0,7.6,897,"ABUYUG, LEYTE","8",0.6,0.6,0.4,6.9,0.2,0.6,0.8,1.0,0.6,6.5,18.2,897,"ABUYUG, LEYTE","8",0.4,6.5,0.4,0.4,0.6,0.6,0.6,0.8,14.2,24.5,50.3
334,"BARLIG, MOUNTAIN PROVINCE",CAR,,,,,,,,,,,,334,"BARLIG, MOUNTAIN PROVINCE","CAR",,,,,,,,,,,,334,"BARLIG, MOUNTAIN PROVINCE","CAR",,,,,,,,,,,
882,"KIDAPAWAN, COTABATO",12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,882,"KIDAPAWAN, COTABATO","12",0.0,0.0,,,,,,,,,0,882,"KIDAPAWAN, COTABATO","12",,,,,,,,,,,0
336,"BALBALAN, KALINGA",CAR,,,,,,,,,,,,336,"BALBALAN, KALINGA","CAR",,,,,,,,,,,,336,"BALBALAN, KALINGA","CAR",,,,,,,,,,,
345,"CASTILLA, SORSOGON",5,0.0,2.2,3.2,1.4,0.0,0.2,1.4,60.2,3.8,0.0,72.4,345,"CASTILLA, SORSOGON","5",0.0,0.0,2.2,6.8,0.8,0.2,0.0,0.0,0.0,0.0,10,345,"CASTILLA, SORSOGON","5",0.0,0.0,0.0,5.0,1.6,29.8,0.0,,,36.4,118.8
364,"MARAGUSAN, COMPOSTELA VALLEY",11,,,,,,,,,,,,364,"MARAGUSAN, COMPOSTELA VALLEY","11",,,,,,,,,,,,364,"MARAGUSAN, COMPOSTELA VALLEY","11",,,,,,,,,,,
887,"CANTILAN, SURIGAO DEL SUR",13,,,,,,,,,,,,887,"CANTILAN, SURIGAO DEL SUR","13",,,,,,,,,,,,887,"CANTILAN, SURIGAO DEL SUR","13",,,,,,,,,,,
347,"PANDAN, CATANDUANES",5,,,,,,,,,,,,347,"PANDAN, CATANDUANES","5",,,,,,,,,,,,347,"PANDAN, CATANDUANES","5",,,,,,,,,,,
383,"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL",7,,,,,,,4.9,,,,4.9,383,"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL","7",,,,,,,,,,,0,383,"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL","7",,,,,,4.9,,,,4.9,9.8
337,"SUDIPEN, LA UNION",1,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,337,"SUDIPEN, LA UNION","1",0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.6,337,"SUDIPEN, LA UNION","1",0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,3.2
1103,"ABUCAY, BATAAN",3,,,,,,,,,,,,1103,"ABUCAY, BATAAN","3",,,,,,,,,,,,1103,"ABUCAY, BATAAN","3",,,,,,,,,,,
362,"CATEEL, DAVAO ORIENTAL",11,,,,,,,,,,,,362,"CATEEL, DAVAO ORIENTAL","11",,,,,,,,,,,,362,"CATEEL, DAVAO ORIENTAL","11",,,,,,,,,,,
326,"LEMERY, BATANGAS",4-A,0.0,0.0,0.6,0.0,12.0,18.6,0.4,0.0,0.0,0.0,31.6,326,"LEMERY, BATANGAS","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,326,"LEMERY, BATANGAS","4-A",0.0,0.0,0.0,0.0,3.6,2.2,0.0,0.0,0.0,5.8,37.4
1081,"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO",4-B,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,,,0.6,1081,"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO","4-B",,,,,,,,,,,,1081,"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO","4-B",,,,,,,,,,,0.6
